Nome,Pais,Regiao,Tipo,Safra,R.P.,W.S.,Beber R.P.,Etiqueta,Estoque
DRC - La Tâche - G. C.,França,Bourgogne,Tinto,1966,99,,18,CX 100,1
DRC - La Tâche - G. C.,França,Bourgogne,Tinto,1988,,,,CX 15,1
DRC - La Tâche - G. C.,França,Bourgogne,Tinto,1990,,,,"CX 12, CX 31",2
DRC - La Tâche - G. C.,França,Bourgogne,Tinto,1995,95,95,"18,5","CX 31, CX 31",2
DRC - La Tâche - G. C.,França,Bourgogne,Tinto,1996,94 - 97,96,"19,5",CX 31,1
DRC - La Tâche - G. C.,França,Bourgogne,Tinto,1999,,,,CX 31,1
DRC - La Tâche - G. C.,França,Bourgogne,Tinto,2003,,,,CX 31,1
DRC - La Tâche - G. C.,França,Bourgogne,Tinto,2004,,,,CX 32,1
DRC - La Tâche - G. C.,França,Bourgogne,Tinto,2005,,,,CX 32,1
DRC - Richebourg - G. C.,França,Bourgogne,Tinto,1985,96,100,18,"CX 33, CX 33, CX 33, CX 33",4
DRC - Richebourg - G. C.,França,Bourgogne,Tinto,1990,,,,CX 33,1
DRC - Richebourg - G. C.,França,Bourgogne,Tinto,1996,93 - 96,,,CX 32,1
DRC - Richebourg - G. C.,França,Bourgogne,Tinto,1997,93,,18,CX 12,1
DRC - Richebourg - G. C.,França,Bourgogne,Tinto,1998,,,,CX 15,1
DRC - Richebourg - G. C.,França,Bourgogne,Tinto,2003,97,,,"CX 32, CX 32",2
DRC - Richebourg - G. C.,França,Bourgogne,Tinto,2004,94,,,CX 32,1
DRC - St. Vivant - G. C.,França,Bourgogne,Tinto,1990,92,,"19,5",CX 60,1
DRC - St. Vivant - G. C.,França,Bourgogne,Tinto,1996,94,95,17,"CX 10, CX 15, CX 34",3
DRC - Grands Échézeaux - G. C.,França,Bourgogne,Tinto,1990,93,,"18,5",CX 34,1
Leroy - Richebourg,França,Bourgogne,Tinto,1992,,,,"CX 40, CX 40",2
